Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,18054.39,216652.68,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Estimate,US East (N. Virginia),EC2 Application Server,Amazon EC2 ,0,3332.68,39992.16,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 8), Advance EC2 instance (c5.4xlarge), Pricing strategy ( 1 Year  None upfront), Enable monitoring (enabled), EBS Storage amount (100 GB), DT Inbound: Not selected (500 GB per month), DT Outbound: Internet (1 TB per month), DT Intra-Region: (0 TB per month)"
Estimate,US East (N. Virginia),EC2 Web Server,Amazon EC2 ,0,3381.5299999999997,40578.36,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 8), Advance EC2 instance (c5.4xlarge), Pricing strategy ( 1 Year  None upfront), Enable monitoring (enabled), EBS Storage amount (100 GB), DT Inbound: Not selected (100 GB per month), DT Outbound: Internet (500 GB per month), DT Intra-Region: (0 TB per month)"
Estimate,US East (N. Virginia),RDS Master Instance,Amazon RDS for MySQL,0,4684.759999999999,56217.12,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Quantity (1), Instance type (db.m5.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (500 GB), Total Size of Backup Processed for Export (GB) ( per month), Cost for one month of retention (per vCPU per month) (1.5000000000), Cost for each additional month of retention (per vCPU per month) (0.0631000000), Cost for total retention (per vCPU per month) (1.82)"
Estimate,US East (N. Virginia),RDS Read Replica,Amazon RDS for MySQL,0,2312.38,27748.56,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Quantity (1), Instance type (db.m2.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Cost for one month of retention (per vCPU per month) (1.5000000000), Cost for each additional month of retention (per vCPU per month) (0.0631000000), Cost for total retention (per vCPU per month) (1.82), Additional backup storage (500 GB)"
Estimate,US East (N. Virginia),Web Application Load Balancer,Application Load Balancer,0,28.11,337.32,USD,,Number of Application Load Balancers (1)
Estimate,US East (N. Virginia),,Network Load Balancer,0,25.189999999999998,302.28,USD,,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (2 GB per hour), Average number of new TCP connections (50 per minute), Average TCP connection duration (5 seconds)"
Estimate,US East (N. Virginia),S3 Bucket Estimate,S3 Standard,0,471.83,5661.96,USD,,"S3 Standard storage (20 TB per month), PUT, COPY, POST, LIST requests to S3 Standard (90000), GET, SELECT, and all other requests from S3 Standard (800000), Data returned by S3 Select (5 GB per month), Data scanned by S3 Select (10 GB per month)"
Estimate,US East (N. Virginia),S3 Bucket Estimate,Data Transfer,0,63,756.00,USD,,"DT Inbound: Internet (15 GB per month), DT Outbound: Internet (700 GB per month)"
Estimate,US East (N. Virginia),CloudFront Estimate,Amazon CloudFront,0,8.55,102.60,USD,,"Data transfer out to internet (100 GB per month), Data transfer out to origin (2 GB per month), Number of requests (HTTPS) (10000 per month)"
Estimate,US East (N. Virginia),NAT Gateway,Network Address Translation (NAT) Gateway,0,64.35,772.20,USD,,Number of NAT Gateways (1)
Estimate,US East (N. Virginia),VPC Data Transfer,Data Transfer,0,102.16,1225.92,USD,,"DT Inbound: Internet (700 GB per month), DT Outbound: Internet (1 TB per month), DT Intra-Region: (500 GB per month), Data transfer cost (102.16)"
Estimate,US East (N. Virginia),CloudWatch Estimate,Amazon CloudWatch,0,406.853,4882.24,USD,,"GetMetricData: Number of metrics requested (100), Number of Metrics (includes detailed and custom metrics) (100), GetMetricWidgetImage: Number of metrics requested (100), Number of other API requests (5000), Standard Logs: Data Ingested (200 GB), Logs Delivered to CloudWatch Logs: Data Ingested (200 GB), Logs Delivered to S3: Data Ingested (500 GB), Number of Contributor Insights rules for CloudWatch (100)"
Estimate,US East (N. Virginia),ElasticCache Estimate,Amazon ElastiCache,0,908.12,10897.44,USD,,"Nodes (0), Instance type (cache.r6gd.12xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Cache Engine (Redis), Cache Node Type (Memory optimized), Pricing strategy (OnDemand), Nodes (4), Instance type (cache.m4.xlarge), Cache Engine (Redis), Utilization (On-Demand only) (100 %Utilized/Month), Cache Node Type (Standard), Pricing strategy (OnDemand)"
Estimate,US East (N. Virginia),RDS Cross Region Replica,Amazon RDS for MySQL,0,2264.88,27178.56,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Quantity (1), Instance type (db.m2.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Cost for one month of retention (per vCPU per month) (1.5000000000), Cost for each additional month of retention (per vCPU per month) (0.0631000000), Cost for total retention (per vCPU per month) (1.82)"



Notes
"* Given the increased budget estimate, I've decided to make the following changes."
"* Re-introduce the Cross Region Read Replica for RDS."
"* Upgrade RDS Master Instance to 'db.m5.8xlarge' family."
"* Upgrade RDS Multi AZ Read Replica to 'db.m2.4xlarge' family."
"* Upgrade Application and Web Server EC2 instances to 'c5.4xlarge' family, and increase count to 8."
"* Increase ElasticCache node count to 4."
